ship_to_state,vaccine_distribution_phase,order_number,order_date,supplier_name,manufacturer_name,expiration_date,batch_number
df,fase1,339106,2021-01-17 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2023-10-24 00:00:00,202010036
df,fase1,339106,2021-01-17 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2023-10-02 00:00:00,202010021
df,fase10,346223,2021-03-24 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210091
df,fase10,346223,2021-03-24 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210097
df,fase10,346223,2021-03-24 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210093
df,fase10,346148,2021-03-24 00:00:00,ORGANIZAÇÃO PAN-AMERICANA DA SAÚDE,ASTRAZENECA AB,2021-04-30 00:00:00,CTMAV501
df,fase11,346744,2021-03-31 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-09-02 00:00:00,213VCD004ZVA
df,fase11,346751,2021-03-31 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210120
df,fase12,347424,2021-04-07 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210136
df,fase12,347450,2021-04-07 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,2021-09-07 00:00:00,213VCD007W
df,fase13,348328,2021-04-14 00:00:00,BIO-MANGUINHOS,BIO-MANGUINHOS,2021-09-13 00:00:00,213VCD013W
df,fase13,348299,2021-04-14 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210145
df,fase13,348299,2021-04-14 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210144
df,fase14,349153,2021-04-21 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210147
df,fase14,349153,2021-04-21 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210149
df,fase14,349153,2021-04-21 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210148
df,fase14,349157,2021-04-21 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-09-18 00:00:00,213VCD022W
df,fase14,349157,2021-04-21 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-09-18 00:00:00,213VCD021W
df,fase15,349737,2021-04-28 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210149
df,fase15,349711,2021-04-28 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-09-27 00:00:00,213VCD040W
df,fase16,350049,2021-04-30 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210150
df,fase16,350049,2021-04-30 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210149
df,fase17,350102,2021-05-01 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-10-06 00:00:00,214VCD064Z
df,fase17,350130,2021-05-01 00:00:00,PFIZER EXPORT B.V,PFIZER MANUFACTURING BELGIUM NV,2021-08-31 00:00:00,EX2405
df,fase18,350652,2021-05-05 00:00:00,ORGANIZACAO PANAMERICANA DA SAUDE NO BRASIL,ASTRAZENECA AB,2021-07-31 00:00:00,ABX0530
df,fase19,350948,2021-05-06 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-04-30 00:00:00,210209
df,fase19,350948,2021-05-06 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-04-30 00:00:00,210211
df,fase19,350948,2021-05-06 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-04-30 00:00:00,210210
df,fase2,339759,2021-01-22 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-04-14 00:00:00,4120Z005
df,fase20,351230,2021-05-08 00:00:00,PFIZER EXPORT B.V,PFIZER EXPORT B.V,2021-09-30 00:00:00,EW0195
df,fase20,351027,2021-05-07 00:00:00,PFIZER EXPORT B.V,PFIZER EXPORT B.V,2021-09-30 00:00:00,EW0195
df,fase21,351460,2021-05-11 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-04-30 00:00:00,210213
df,fase21,351460,2021-05-11 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-10-08 00:00:00,214VCD070W
df,fase22,351650,2021-05-13 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-04-30 00:00:00,210218
df,fase3,339774,2021-01-23 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2021-12-31 00:00:00,200278
df,fase4,340335,2021-01-29 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2021-11-10 00:00:00,210013
df,fase4,340821,2021-02-05 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2021-11-30 00:00:00,210018A
df,fase5,342786,2021-02-23 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-02-28 00:00:00,210038
df,fase5,342825,2021-02-24 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,2021-06-04 00:00:00,4120Z025
df,fase6,343599,2021-03-02 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-02-28 00:00:00,210049
df,fase7,344255,2021-03-08 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-02-28 00:00:00,210049
df,fase8,344870,2021-03-15 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-02-28 00:00:00,210059
df,fase9,345372,2021-03-19 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210087
df,fase9,345331,2021-03-19 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-08-10 00:00:00,212VCD001ZVB
go,fase1,339105,2021-01-17 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2023-10-02 00:00:00,202010020
go,fase1,339105,2021-01-17 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2023-10-24 00:00:00,202010036
go,fase1,339105,2021-01-17 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2023-10-21 00:00:00,202010031
go,fase10,346147,2021-03-24 00:00:00,ORGANIZAÇÃO PAN-AMERICANA DA SAÚDE,ASTRAZENECA AB,2021-05-31 00:00:00,CTMAV520
go,fase10,346222,2021-03-24 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210097
go,fase10,346222,2021-03-24 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210092
go,fase11,346750,2021-03-31 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210120
go,fase11,346743,2021-03-31 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,BIO-MANGUINHOS,2021-09-02 00:00:00,213VCD004ZVA
go,fase12,347423,2021-04-07 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210139
go,fase1,347449,2021-04-07 00:00:00,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,FIOCRUZ - FUNDAÇÃO OSWALDO CRUZ,2021-09-07 00:00:00,213VCD005ZVA
go,fase13,348327,2021-04-14 00:00:00,BIO-MANGUINHOS,BIO-MANGUINHOS,2021-09-13 00:00:00,213VCD013W
go,fase13,348298,2021-04-14 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210139
go,fase13,348298,2021-04-14 00:00:00,FUNDAÇÃO BUTANTAN,FUNDAÇÃO BUTANTAN,2022-03-31 00:00:00,210140
